destination,price,duration,features,product_type
new delhi,16736.0,15h 35m,Jet Airways Banglore 1 stop BLR → BOM → DEL,flight
cochin,15411.0,11h 20m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
goa,3563.33,4h,Scuba Diving at Grande Island with PADI Instructor,activity
varanasi,585.78,1h 15m,Silk Saree Weaving Factory Visit,activity
agra,18565.0,5 nights,"Hotel Taj Plaza - Pool View Room with Bed & Breakfast | Rating: ⭐⭐⭐ 3.8/5 | Includes: Garden, Spa, Fitness Center",hotels
ladakh,3434.69,6h,High Altitude Trek to Stok Kangri Base,activity
ladakh,5092.94,6h,High Altitude Trek to Stok Kangri Base,activity
banglore,89209.0,2 nights,"The Oberoi Bangalore - Presidential Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Free WiFi, Terrace, Airport Shuttle",hotels
cochin,7931.0,3h 5m,Air India Delhi non-stop DEL → COK,flight
agra,1229.41,2h,Marble Inlay Art Workshop (Craft Your Own),activity
goa,46804.0,4 nights,"Novotel Goa - Deluxe Room with Full Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Beach Access, Airport Shuttle, Business Center",hotels
udaipur,1530.34,3h,City Palace & Museum Guided Tour,activity
manali,1592.64,2h,River Rafting in Beas River (Grade II),activity
hyderabad,96637.0,4 nights,"Park Hyatt Hyderabad - Deluxe Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Room Service, Business Center, Spa",hotels
chennai,27508.0,1 nights,"ITC Grand Chola - Executive Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Bar, Kids Club",hotels
goa,81823.0,4 nights,"Park Hyatt Goa - Garden View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Bar, Business Center, Airport Shuttle, Garden",hotels
agra,2533.26,6h,Fatehpur Sikri Day Trip with Guide,activity
kolkata,446.43,1h,Kolkata Tram Heritage Ride,activity
new delhi,23677.0,5h 30m,Air India Banglore 1 stop BLR → BOM → DEL,flight
banglore,37476.0,2 nights,"ITC Gardenia - Garden View Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Conference Rooms, Parking, Swimming Pool, Spa",hotels
banglore,30130.0,1 nights,"The Leela Palace Bangalore - Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Garden, Spa",hotels
new delhi,6860.0,2h 55m,IndiGo Banglore non-stop BLR → DEL,flight
cochin,10262.0,8h 40m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
goa,60583.0,7 nights,"Novotel Goa - Pool View Room with Room Only | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Swimming Pool, Fitness Center, Terrace",hotels
kolkata,4667.0,2h 15m,Air India Chennai non-stop MAA → CCU,flight
mumbai,95106.0,2 nights,"ITC Maratha - Presidential Suite with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Free WiFi, Business Center",hotels
hyderabad,14474.0,1 nights,"ITC Kohenur - Mountain View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Swimming Pool, Bar",hotels
banglore,13044.0,18h 10m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
jaipur,74385.0,3 nights,"Fairmont Jaipur - Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Room Service, Beach Access, Conference Rooms, Bar",hotels
cochin,8759.0,5h 30m,Air Asia Delhi 1 stop DEL → BLR → COK,flight
mumbai,1247.11,3h,Dharavi Slum Tour with Social Enterprise,activity
cochin,10351.0,11h 50m,IndiGo Delhi 1 stop DEL → BOM → COK,flight
banglore,53387.0,2 nights,"The Ritz-Carlton Bangalore - Mountain View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Conference Rooms, Bar",hotels
delhi,52966.0,4 nights,"Hyatt Regency Delhi - Executive Room with Room Only | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Bar, Free WiFi",hotels
hyderabad,1334.66,3h,Charminar & Laad Bazaar Shopping Tour,activity
goa,28411.0,2 nights,"Novotel Goa - Mountain View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Beach Access, Restaurant, Terrace",hotels
delhi,0.0,2h 55m,SpiceJet Banglore non-stop BLR → DEL,flight
cochin,7094.0,8h 35m,IndiGo Delhi 1 stop DEL → HYD → COK,flight
hyderabad,411.85,1h 30m,Golconda Fort Sound & Light Show,activity
cochin,7408.0,8h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
cochin,8372.0,11h 15m,Air India Delhi 1 stop DEL → BOM → COK,flight
banglore,0.0,2h 30m,Air Asia Kolkata non-stop CCU → BLR,flight
varanasi,0.0,1h,Evening Ganga Aarti Ceremony at Dashashwamedh Ghat,activity
cochin,10262.0,20h 10m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
banglore,9663.0,9h 45m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
delhi,4030.0,2h 55m,Jet Airways Banglore non-stop BLR → DEL,flight
agra,32549.0,2 nights,"ITC Mughal - Lake View Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Fitness Center, Terrace, Beach Access, Kids Club",hotels
banglore,48545.0,4 nights,"JW Marriott Bangalore - Pool View Room with Room Only | Rating: ⭐⭐⭐⭐ 4.5/5 | Includes: Restaurant, Room Service",hotels
ladakh,3302.47,4h,Mountain Biking in Leh (Professional Guide),activity
cochin,15965.0,10h 25m,Multiple carriers Delhi 2 stops DEL → IDR → BOM → COK,flight
delhi,0.0,2h 55m,Jet Airways Banglore non-stop BLR → DEL,flight
new delhi,0.0,2h 50m,SpiceJet Banglore non-stop BLR → DEL,flight
hyderabad,43858.0,3 nights,"Park Hyatt Hyderabad - Pool View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Business Center, Restaurant, Room Service, Swimming Pool",hotels
kolkata,1002.66,2h,Howrah Bridge & Flower Market Walk,activity
cochin,1009.25,3h,Jewish Synagogue & Dutch Palace Tour,activity
kolkata,0.0,2h 15m,SpiceJet Chennai non-stop MAA → CCU,flight
delhi,2567.83,4h,Qutub Minar & Humayun's Tomb Tour,activity
agra,9836.0,1 nights,"Courtyard by Marriott - Superior Room with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Airport Shuttle, Room Service, Swimming Pool, Kids Club",hotels
delhi,1031.25,2h,Shopping Tour at Dilli Haat,activity
jaipur,119618.0,7 nights,"ITC Rajputana - Executive Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Business Center, Free WiFi",hotels
cochin,6818.0,7h 5m,IndiGo Delhi 1 stop DEL → HYD → COK,flight
jaipur,1376.88,2h,Traditional Block Printing Workshop (Take Home Kit),activity
ladakh,5183.39,10h,Pangong Lake Day Trip via Chang La Pass,activity
banglore,165332.0,5 nights,"The Ritz-Carlton Bangalore - Lake View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Room Service, Garden, Terrace",hotels
cochin,1349.55,3h,Jewish Synagogue & Dutch Palace Tour,activity
jaipur,50711.0,2 nights,"ITC Rajputana - Sea View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Beach Access, Spa, Restaurant",hotels
jaipur,164083.0,14 nights,"Marriott Jaipur - Pool View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Parking, Bar",hotels
new delhi,13817.0,14h 35m,Jet Airways Banglore 1 stop BLR → BOM → DEL,flight
cochin,2171.13,3h,Kerala Seafood Cooking Class,activity
cochin,8614.0,7h 50m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
delhi,53483.0,5 nights,"Radisson Blu Delhi - Deluxe Room with Room Only | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Garden, Room Service",hotels
cochin,10919.0,22h,Jet Airways Delhi 2 stops DEL → NAG → BOM → COK,flight
cochin,9149.0,10h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
kerala,1601.88,4h,Tea Plantation Tour in Munnar with Tasting,activity
banglore,10844.0,22h 15m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
agra,19834.0,2 nights,"Courtyard by Marriott - Lake View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Airport Shuttle, Beach Access, Spa",hotels
new delhi,11087.0,25h 50m,Jet Airways Banglore 1 stop BLR → BOM → DEL,flight
cochin,6795.0,12h 40m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
delhi,3419.0,2h 55m,IndiGo Banglore non-stop BLR → DEL,flight
udaipur,467.9,2h,Evening Cultural Performance - Folk Dance & Music,activity
mumbai,168179.0,4 nights,"The Oberoi Mumbai - Suite with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Restaurant, Airport Shuttle",hotels
cochin,12327.0,11h 5m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
banglore,39443.0,2 nights,"ITC Gardenia - Standard Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Free WiFi, Terrace, Room Service",hotels
agra,15447.0,3 nights,"Hotel Taj Plaza - Suite with Bed & Breakfast | Rating: ⭐⭐⭐ 3.8/5 | Includes: Parking, Fitness Center, Restaurant, Beach Access",hotels
cochin,7005.0,15h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
cochin,13039.0,14h 25m,Air India Delhi 2 stops DEL → HYD → BOM → COK,flight
agra,77396.0,1 nights,"Oberoi Amarvilas - Presidential Suite with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Bar, Conference Rooms",hotels
hyderabad,8040.0,1h 30m,Jet Airways Mumbai non-stop BOM → HYD,flight
delhi,0.0,2h 50m,Vistara Banglore non-stop BLR → DEL,flight
udaipur,1610.68,3h,City Palace & Museum Guided Tour,activity
banglore,6245.0,2h 30m,Air India Kolkata non-stop CCU → BLR,flight
udaipur,346.75,1h,Traditional Rajasthani Puppet Show,activity
cochin,9653.0,26h 35m,Air India Delhi 2 stops DEL → AMD → BOM → COK,flight
banglore,14151.0,6h 35m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
kerala,2080.84,4h,Tea Plantation Tour in Munnar with Tasting,activity
cochin,1957.13,3h,Kerala Seafood Cooking Class,activity
kolkata,1710.82,3h,Victoria Memorial & St. Paul's Cathedral Tour,activity
chennai,68359.0,3 nights,"Taj Coromandel - Pool View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Bar, Business Center",hotels
delhi,51517.0,2 nights,"The Leela Palace New Delhi - Lake View Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.8/5 | Includes: Swimming Pool, Parking",hotels
cochin,7174.0,5h 20m,Air India Delhi 1 stop DEL → BLR → COK,flight
cochin,7308.0,7h 15m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
cochin,720.36,2h,Kathakali Makeup & Performance Session,activity
cochin,9254.0,13h 25m,Jet Airways Delhi 2 stops DEL → IDR → BOM → COK,flight
cochin,12717.0,12h 10m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
banglore,23115.0,1 nights,"ITC Gardenia - Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Business Center, Conference Rooms, Swimming Pool, Room Service",hotels
kolkata,5944.0,2h 15m,Vistara Chennai non-stop MAA → CCU,flight
rishikesh,0.0,1h,Evening Ganga Aarti at Triveni Ghat,activity
cochin,580.71,2h,Kathakali Makeup & Performance Session,activity
banglore,10844.0,23h 20m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
ladakh,3249.22,4h,Mountain Biking in Leh (Professional Guide),activity
cochin,1043.84,2h 30m,Fort Kochi Heritage Walking Tour,activity
cochin,6111.0,3h 10m,Vistara Delhi non-stop DEL → COK,flight
delhi,0.0,2h 55m,Jet Airways Banglore non-stop BLR → DEL,flight
jaipur,799.44,1h 15m,Sound & Light Show at Amer Fort (Evening),activity
ladakh,1735.72,2h,Camel Safari in Nubra Valley (Double Hump),activity
agra,37810.0,1 nights,"Oberoi Amarvilas - Deluxe Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Spa, Bar",hotels
cochin,0.0,22h 55m,Jet Airways Delhi 2 stops DEL → JAI → BOM → COK,flight
jaipur,3186.92,6h,Private Jaipur City Tour - All Major Attractions,activity
delhi,109583.0,7 nights,"The Lalit New Delhi - Deluxe Room with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Business Center, Parking",hotels
banglore,4804.0,2h 35m,IndiGo Kolkata non-stop CCU → BLR,flight
udaipur,1772.22,3h,Royal Rajasthani Cooking Class at Heritage Haveli,activity
hyderabad,2754.0,1h 30m,IndiGo Mumbai non-stop BOM → HYD,flight
agra,47250.0,3 nights,"ITC Mughal - Sea View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Garden, Beach Access, Airport Shuttle",hotels
agra,24812.0,2 nights,"ITC Mughal - Garden View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Parking, Conference Rooms, Bar, Terrace",hotels
banglore,5510.0,2h 30m,Air India Kolkata non-stop CCU → BLR,flight
cochin,0.0,9h,Multiple carriers Delhi 1 stop DEL → HYD → COK,flight
agra,251879.0,14 nights,"DoubleTree by Hilton - Presidential Suite with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Free WiFi, Conference Rooms, Beach Access",hotels
new delhi,27992.0,12h 20m,Jet Airways Banglore 1 stop BLR → BOM → DEL,flight
kerala,2589.27,2h,Traditional Ayurvedic Full Body Massage,activity
goa,1417.76,2h,Dolphin Spotting Sunset Cruise,activity
new delhi,4563.0,2h 40m,Vistara Banglore non-stop BLR → DEL,flight
banglore,14571.0,17h 5m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
banglore,6810.0,8h 20m,Air Asia Kolkata 2 stops CCU → IXR → DEL → BLR,flight
cochin,8603.0,7h 15m,Air India Delhi 2 stops DEL → JAI → BOM → COK,flight
chennai,60574.0,3 nights,"The Leela Palace Chennai - Mountain View Room with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Business Center, Parking, Spa, Terrace",hotels
delhi,3749.0,2h 50m,IndiGo Banglore non-stop BLR → DEL,flight
mumbai,32097.0,2 nights,"Hyatt Regency Mumbai - Mountain View Room with Half Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Fitness Center, Restaurant",hotels
delhi,66091.0,3 nights,"The Imperial New Delhi - Pool View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Fitness Center, Free WiFi, Airport Shuttle",hotels
delhi,64924.0,4 nights,"Taj Palace - Lake View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Beach Access, Airport Shuttle",hotels
kolkata,777.43,2h,College Street Book Market Exploration,activity
cochin,6147.0,4h 50m,IndiGo Delhi 1 stop DEL → BLR → COK,flight
cochin,0.0,6h 35m,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
mumbai,1982.52,4h,Bollywood Studio Tour with Film Set Visit,activity
delhi,7229.0,2h 55m,Jet Airways Banglore non-stop BLR → DEL,flight
cochin,11071.0,24h 50m,Air India Delhi 2 stops DEL → CCU → BOM → COK,flight
delhi,0.0,2h 50m,Vistara Banglore non-stop BLR → DEL,flight
cochin,9968.0,23h 30m,Air India Delhi 2 stops DEL → AMD → BOM → COK,flight
hyderabad,35018.0,1 nights,"Taj Falaknuma Palace - Sea View Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Beach Access, Garden, Kids Club, Conference Rooms",hotels
hyderabad,4937.0,1h 20m,Air India Mumbai non-stop BOM → HYD,flight
cochin,525.26,1h,Chinese Fishing Nets Demonstration,activity
kolkata,6297.0,2h 25m,IndiGo Chennai non-stop MAA → CCU,flight
kerala,1814.42,4h,Tea Plantation Tour in Munnar with Tasting,activity
banglore,4174.0,2h 35m,IndiGo Kolkata non-stop CCU → BLR,flight
chennai,342123.0,14 nights,"The Leela Palace Chennai - Pool View Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Conference Rooms, Swimming Pool",hotels
goa,23905.0,1 nights,"Taj Fort Aguada Resort - Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Airport Shuttle, Garden",hotels
delhi,7229.0,3h 5m,Jet Airways Banglore non-stop BLR → DEL,flight
kolkata,3597.0,2h 20m,IndiGo Chennai non-stop MAA → CCU,flight
banglore,14151.0,11h 30m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
cochin,0.0,8h 25m,Jet Airways Delhi 2 stops DEL → ATQ → BOM → COK,flight
banglore,14495.0,1 nights,"ITC Gardenia - Standard Room with Half Board | Rating: ⭐⭐⭐⭐⭐ 4.7/5 | Includes: Fitness Center, Airport Shuttle",hotels
kerala,2811.67,2h,Traditional Ayurvedic Full Body Massage,activity
jaipur,96027.0,4 nights,"Hilton Jaipur - Suite with All Inclusive | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Business Center, Swimming Pool, Fitness Center, Garden",hotels
banglore,4860.0,4h 35m,IndiGo Kolkata 1 stop CCU → MAA → BLR,flight
new delhi,5013.0,4h,Air India Banglore 1 stop BLR → HYD → DEL,flight
hyderabad,11887.0,1 nights,"Novotel Hyderabad - Family Room with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Conference Rooms, Beach Access, Business Center",hotels
agra,36727.0,1 nights,"Oberoi Amarvilas - Family Room with Room Only | Rating: ⭐⭐⭐⭐⭐ 4.9/5 | Includes: Spa, Garden",hotels
cochin,6540.0,10h 10m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
agra,1281.58,3h,Mughlai Food Tasting Tour in Old Agra,activity
delhi,4544.0,3h,Jet Airways Banglore non-stop BLR → DEL,flight
cochin,781.45,2h 30m,Fort Kochi Heritage Walking Tour,activity
kerala,1699.61,4h,Tea Plantation Tour in Munnar with Tasting,activity
udaipur,734.94,1h,Lake Pichola Boat Ride with City Palace View,activity
banglore,10703.0,6h 35m,Jet Airways Kolkata 1 stop CCU → DEL → BLR,flight
chennai,15247.0,1 nights,"Hilton Chennai - Lake View Room with Full Board | Rating: ⭐⭐⭐⭐ 4.2/5 | Includes: Business Center, Kids Club, Garden",hotels
goa,400492.0,10 nights,"Leela Goa - Presidential Suite with All Inclusive | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Conference Rooms, Parking, Spa, Kids Club",hotels
jaipur,740.51,1h 15m,Sound & Light Show at Amer Fort (Evening),activity
cochin,12192.0,12h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
banglore,10151.0,23h 10m,Air India Kolkata 2 stops CCU → BBI → BOM → BLR,flight
manali,1348.01,4h,Hadimba Temple & Old Manali Guided Tour,activity
banglore,12681.0,11h 45m,Jet Airways Kolkata 1 stop CCU → BOM → BLR,flight
cochin,6094.0,3h,Air India Delhi non-stop DEL → COK,flight
rishikesh,3837.6,45m,Bungee Jumping at Mohan Chatti (India's Highest),activity
cochin,0.0,12h,Multiple carriers Delhi 1 stop DEL → BOM → COK,flight
banglore,4148.0,2h 45m,IndiGo Kolkata non-stop CCU → BLR,flight
goa,169145.0,7 nights,"Taj Fort Aguada Resort - Family Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Parking, Bar, Room Service, Kids Club",hotels
hyderabad,2175.0,1h 30m,SpiceJet Mumbai non-stop BOM → HYD,flight
agra,82665.0,14 nights,"Hotel Taj Plaza - Presidential Suite with Bed & Breakfast | Rating: ⭐⭐⭐ 3.8/5 | Includes: Conference Rooms, Spa",hotels
banglore,4804.0,2h 35m,IndiGo Kolkata non-stop CCU → BLR,flight
delhi,0.0,2h 40m,SpiceJet Banglore non-stop BLR → DEL,flight
banglore,7646.0,5h 30m,SpiceJet Kolkata 1 stop CCU → IXB → BLR,flight
banglore,493.38,2h,Lalbagh Botanical Garden Walking Tour,activity
jaipur,32949.0,4 nights,"Radisson Blu Jaipur - Superior Room with Room Only | Rating: ⭐⭐⭐⭐ 4.0/5 | Includes: Garden, Business Center, Room Service, Bar",hotels
cochin,7202.0,3h 15m,Jet Airways Delhi non-stop DEL → COK,flight
delhi,31041.0,2 nights,"Hyatt Regency Delhi - Family Room with Full Board | Rating: ⭐⭐⭐⭐ 4.3/5 | Includes: Conference Rooms, Fitness Center, Terrace, Free WiFi",hotels
agra,1173.98,2h,Moonlight Garden View of Taj Mahal,activity
cochin,7438.0,26h 10m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
cochin,0.0,11h 40m,Air India Delhi 1 stop DEL → BOM → COK,flight
agra,1817.27,6h,Fatehpur Sikri Day Trip with Guide,activity
cochin,15965.0,10h 25m,Multiple carriers Delhi 2 stops DEL → IDR → BOM → COK,flight
mumbai,24550.0,1 nights,"JW Marriott Mumbai - Lake View Room with All Inclusive | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Swimming Pool, Conference Rooms",hotels
hyderabad,2017.0,1h 25m,SpiceJet Mumbai non-stop BOM → HYD,flight
cochin,20064.0,47h,Jet Airways Delhi 2 stops DEL → IDR → BOM → COK,flight
banglore,0.0,25h 50m,Vistara Kolkata 1 stop CCU → DEL → BLR,flight
agra,61052.0,3 nights,"ITC Mughal - Family Room with Full Board | Rating: ⭐⭐⭐⭐⭐ 4.6/5 | Includes: Free WiFi, Fitness Center, Kids Club, Airport Shuttle",hotels
jaipur,1986.32,3h,Rajasthani Thali Cooking Class with Chef,activity
jaipur,47829.0,2 nights,"The Lalit Jaipur - Presidential Suite with Half Board | Rating: ⭐⭐⭐⭐ 4.1/5 | Includes: Restaurant, Fitness Center",hotels
cochin,603.5,2h,Kathakali Makeup & Performance Session,activity
cochin,0.0,22h 5m,Jet Airways Delhi 1 stop DEL → BOM → COK,flight
rishikesh,2271.73,3h,White Water Rafting (16km Shivpuri to Rishikesh),activity
goa,14324.0,1 nights,"Alila Diwa Goa - Lake View Room with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Beach Access, Restaurant, Airport Shuttle",hotels
banglore,10203.0,23h 55m,Air India Kolkata 1 stop CCU → DEL → BLR,flight
jaipur,1742.52,45m,Elephant Ride at Amer Fort with Photo Package,activity
goa,218949.0,10 nights,"Alila Diwa Goa - Suite with Bed & Breakfast | Rating: ⭐⭐⭐⭐ 4.4/5 | Includes: Restaurant, Fitness Center, Garden, Business Center",hotels
cochin,13292.0,13h 30m,Jet Airways Delhi 2 stops DEL → IDR → BOM → COK,flight
